AFF_LOVE_POINT	Πόντοι αγάπης: %d%%
TOOLTIP_NEED_ALL_SP	Απαιτούμενη SP: Μεγ.
TOOLTIP_NEED_GSP	Απαιτούμενο Δρακοφάντασμα: %d
TOOLTIP_NEED_HP	Απαιτούμενη HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP / Δευτ.: %d
TOOLTIP_NEED_SP	Απαιτούμενη SP: %d
TOOLTIP_NEED_SP_PER_SEC	SP / Δευτ.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Επόμενο Επίπεδο: %d (Μεγ. %d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Μέση Ζημιά %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Μέση Αντίσταση Ζημιάς %d%%	SA
TOOLTIP_PARTY_SKILL_LEVEL	Τρέχον Επίπεδο: %d
TOOLTIP_PICK_EXP	Βαθμοί: %d / %d
TOOLTIP_PICK_LEVEL	Επίπεδο: %d
TOOLTIP_PICK_UPGRADE1	Δώσ' το στον Υλοτόμο,
TOOLTIP_PICK_UPGRADE2	για να σου δώσει μία
TOOLTIP_PICK_UPGRADE3	αναβαθμισμένη Αξίνα.
TOOLTIP_POTION_CURE	Θεραπεία αρνητικών επιδράσεων.
TOOLTIP_POTION_MIN	Λεπ.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Ταχύτητα επίθεσης +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Ταχύτητα +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Δευτ.
TOOLTIP_POTION_TIME	Διάρκεια:
TOOLTIP_REQUIREMENT_SKILL_LEVEL	Απαιτείται %s Επίπεδο %d.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d χρειάζεται
TOOLTIP_RESIST_BOW	Αντίσταση Βέλους %d%%	SA
TOOLTIP_RESIST_DARK	Αντίσταση στο σκότος +%d	SA
TOOLTIP_RESIST_EARTH	Αντίσταση στη γη +%d	SA
TOOLTIP_RESIST_ELEC	Αντίσταση Αστραπής %d%%	SA
TOOLTIP_RESIST_FIRE	Αντίσταση Φωτιάς %d%%	SA
TOOLTIP_RESIST_ICE	Αντίσταση στον πάγο +%d	SA
TOOLTIP_RESIST_MAGIC	Μαγική Αντίσταση %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Υπόλοιπο: %d
TOOLTIP_SELLPRICE	Τιμή: %s
TOOLTIP_SHAMAN	Σαμάνος
TOOLTIP_SHIELD	Ασπίδα
TOOLTIP_SHOES	Παπούτσια
TOOLTIP_SKILLBOOK_NAME	Βιβλίο Ικανοτήτων
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Αξία Επίθεσης: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Αξία Επίθεσης:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Ταχύτητα Επίθεσης: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Άμυνα:
TOOLTIP_SKILL_AFFECT_DODGE	Αξία Επίθεσης Αντίπαλου: -
TOOLTIP_SKILL_AFFECT_HEAL	Επαναφορά HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Ταχύτητα Κίνησης: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Πιθανότητα απώθησης σωματικής επίθεσης:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Αντίσταση ενάντια στη Ζημιά Σώματος:
TOOLTIP_SKILL_COOL_TIME	Χρόνος Φόρτωσης: 
TOOLTIP_SKILL_DAMAGE_BONUS	Ζημιά Ικανοτήτων %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Αντίσταση ενάντια στη Ζημιά Ικανότητας %d%%	SA
TOOLTIP_SKILL_DURATION	Διάρκεια: %d Δευτ.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Βιβλίο της Λήθης
TOOLTIP_SKILL_LEVEL	Τρέχον Επίπεδο: %d
TOOLTIP_SKILL_LEVEL_MASTER	Τρέχον Επίπεδο: %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Τρέχον Επίπεδο: %d (Μεγ. %d)
TOOLTIP_SOCKET_EMPTY	Άδειο
TOOLTIP_SOCKET_REFINABLE_ITEM	[Αντικείμενο με υποδοχή]
TOOLTIP_SP_REGEN	Αναγέννηση SP +%d%%	SA
TOOLTIP_STR	Δύναμη +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Ανανέωση χρόνου %d δευτ.	SA
TOOLTIP_TIME_CHARGER_PER	Ανανέωση χρόνου %d%%	SA
TOOLTIP_UNIQUE	Μοναδικό
TOOLTIP_WARRIOR	Πολεμιστής
TOOLTIP_WEAPON	Όπλο
TOOLTIP_WRISTLET	Περικάρπιο
UI_ACCEPT	Αποδοχή
UI_CANCEL	Ακύρωση
UI_CLOSE	Κλείσιμο
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Απόρριψε
UI_ITEM	Αντικείμενο
UI_LEFT_TIME	Χρόνος που απομένει: %d Δευτ.
UI_NEXT	Συνέχισε
UI_NEXTPAGE	Συνέχεια
UI_NOCONTENTS	Χωρίς Περιεχόμενο
UI_NONAME	Χωρίς Όνομα
UI_OK	OK
UI_POS_UNKNOWN	Άγνωστο μέρος
UI_PREVPAGE	πίσω
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Πρέπει να γίνει σύνδεση εκ νέου.
USE_ITEM_FAILURE_PRIVATE_SHOP	Δεν μπορείς να χρησιμοποιήσεις αντικείμενα όσο έχεις ανοιχτό το ιδιωτικό κατάστημα.
ITEM_GET	Ελήφθη: %s	SA
ITEM_GET_FROM_PARTY	Ελήφθη: %s από %s	SAA
ITEM_DELIVER_TO_PARTY	Παραδόθηκε: %s σε %s	SAA
